Temperature Readings on Oct-17-2020
°C, local time
24.437, 20:06:21
24.437, 20:06:22
24.437, 20:06:23
24.437, 20:06:24
24.437, 20:06:25
24.5, 20:06:26
24.5, 20:06:26
24.5, 20:06:27
24.5, 20:06:28
24.5, 20:06:29
24.5, 20:06:30
24.5, 20:06:31
24.5, 20:06:32
24.5, 20:06:33
24.5, 20:06:34
24.5, 20:06:34
24.5, 20:06:35
24.5, 20:06:36
24.5, 20:06:37
24.437, 20:06:38
24.437, 20:06:39
24.5, 20:06:40
24.437, 20:06:41
24.5, 20:06:41
24.5, 20:06:42
24.5, 20:06:43
24.437, 20:06:44
24.5, 20:06:45
24.5, 20:06:46
24.5, 20:06:47
24.5, 20:06:48
24.5, 20:06:48
24.5, 20:06:49
24.5, 20:06:50
24.5, 20:06:51
24.5, 20:06:52
24.5, 20:06:53
24.5, 20:06:54
24.5, 20:06:55
24.5, 20:06:56
24.5, 20:06:56
24.5, 20:06:57
24.5, 20:06:58
24.5, 20:06:59
24.5, 20:07:00
24.5, 20:07:01
24.5, 20:07:02
24.5, 20:07:03
24.5, 20:07:03
24.5, 20:07:04
24.5, 20:07:05
24.562, 20:07:06
24.5, 20:07:07
24.5, 20:07:08
24.5, 20:07:09
24.5, 20:07:10
24.5, 20:07:10
24.5, 20:07:11
24.5, 20:07:12
24.5, 20:07:13
24.5, 20:07:14
24.5, 20:07:15
24.5, 20:07:16
24.5, 20:07:17
24.5, 20:07:18
24.5, 20:07:18
24.5, 20:07:19
24.5, 20:07:20
24.562, 20:07:21
24.625, 20:07:22
24.687, 20:07:23
24.687, 20:07:24
24.75, 20:07:25
24.812, 20:07:25
24.875, 20:07:26
24.937, 20:07:27
24.937, 20:07:28
25.062, 20:07:29
25.062, 20:07:30
25.125, 20:07:31
25.125, 20:07:32
25.187, 20:07:32
25.25, 20:07:33
25.312, 20:07:34
25.375, 20:07:35
25.375, 20:07:36
25.375, 20:07:37
25.5, 20:07:38
25.562, 20:07:39
25.562, 20:07:40
25.562, 20:07:40
25.625, 20:07:41
25.625, 20:07:42
25.687, 20:07:43
25.687, 20:07:44
25.75, 20:07:45
25.812, 20:07:46
25.812, 20:07:47
25.75, 20:07:47
25.75, 20:07:48
25.75, 20:07:49
25.875, 20:07:50
25.812, 20:07:51
25.875, 20:07:52
25.937, 20:07:53
26.0, 20:07:54
26.0, 20:07:54
26.0, 20:07:55
25.937, 20:07:56
25.937, 20:07:57
25.937, 20:07:58
25.937, 20:07:59
25.937, 20:08:00
25.875, 20:08:01
25.937, 20:08:02
25.875, 20:08:02
25.875, 20:08:03
25.875, 20:08:04
25.812, 20:08:05
25.875, 20:08:06
25.812, 20:08:07
25.812, 20:08:08
25.812, 20:08:09
25.812, 20:08:09
25.875, 20:08:10
25.812, 20:08:11
25.75, 20:08:12
25.75, 20:08:13
25.812, 20:08:14
25.75, 20:08:15
25.75, 20:08:16
25.875, 20:08:16
25.875, 20:08:17
25.875, 20:08:18
25.937, 20:08:19
26.0, 20:08:20
26.125, 20:08:21
26.187, 20:08:22
26.187, 20:08:23
26.25, 20:08:24
26.312, 20:08:24
26.312, 20:08:25
26.437, 20:08:26
26.5, 20:08:27
26.5, 20:08:28
26.562, 20:08:29
26.562, 20:08:30
26.625, 20:08:31
26.625, 20:08:32
26.75, 20:08:32
26.312, 20:08:33
26.75, 20:08:34
26.812, 20:08:35
